"Market","Season","Date","Bales","Total"
"US_Average","2024/2025",2025-04-29,"Cumulative",937103
"US_Average","2024/2025",2025-04-29,"Daily",0
"US_Average","2024/2025",2025-04-28,"Cumulative",937103
"US_Average","2024/2025",2025-04-28,"Daily",4649
"US_Average","2024/2025",2025-04-25,"Cumulative",932454
"US_Average","2024/2025",2025-04-25,"Daily",10829
"US_Average","2024/2025",2025-04-24,"Cumulative",921625
"US_Average","2024/2025",2025-04-24,"Daily",27538
"US_Average","2024/2025",2025-04-23,"Cumulative",894087
"US_Average","2024/2025",2025-04-23,"Daily",3687
"US_Average","2024/2025",2025-04-22,"Cumulative",890400
"US_Average","2024/2025",2025-04-22,"Daily",1838
"US_Average","2024/2025",2025-04-21,"Cumulative",888562
"US_Average","2024/2025",2025-04-21,"Daily",5685
"US_Average","2024/2025",2025-04-17,"Cumulative",882877
"US_Average","2024/2025",2025-04-17,"Daily",6231
"US_Average","2024/2025",2025-04-16,"Cumulative",876646
"US_Average","2024/2025",2025-04-16,"Daily",4340
"US_Average","2024/2025",2025-04-15,"Cumulative",872306
"US_Average","2024/2025",2025-04-15,"Daily",863
"US_Average","2024/2025",2025-04-14,"Cumulative",871443
"US_Average","2024/2025",2025-04-14,"Daily",31
"US_Average","2024/2025",2025-04-11,"Cumulative",871412
"US_Average","2024/2025",2025-04-11,"Daily",1333
"US_Average","2024/2025",2025-04-10,"Cumulative",870079
"US_Average","2024/2025",2025-04-10,"Daily",744
"US_Average","2024/2025",2025-04-09,"Cumulative",869335
"US_Average","2024/2025",2025-04-09,"Daily",0
"US_Average","2024/2025",2025-04-08,"Cumulative",869335
"US_Average","2024/2025",2025-04-08,"Daily",539
"US_Average","2024/2025",2025-04-07,"Cumulative",868796
"US_Average","2024/2025",2025-04-07,"Daily",34
"US_Average","2024/2025",2025-04-04,"Cumulative",868762
"US_Average","2024/2025",2025-04-04,"Daily",0
"US_Average","2024/2025",2025-04-03,"Cumulative",868762
"US_Average","2024/2025",2025-04-03,"Daily",4112
"US_Average","2024/2025",2025-04-02,"Cumulative",864650
"US_Average","2024/2025",2025-04-02,"Daily",21755
"US_Average","2024/2025",2025-04-01,"Cumulative",842895
"US_Average","2024/2025",2025-04-01,"Daily",1533
"US_Average","2024/2025",2025-03-31,"Cumulative",841362
"US_Average","2024/2025",2025-03-31,"Daily",3320
"US_Average","2024/2025",2025-03-28,"Cumulative",838042
"US_Average","2024/2025",2025-03-28,"Daily",9180
"US_Average","2024/2025",2025-03-27,"Cumulative",828862
"US_Average","2024/2025",2025-03-27,"Daily",9149
"US_Average","2024/2025",2025-03-26,"Cumulative",819713
"US_Average","2024/2025",2025-03-26,"Daily",2569
"US_Average","2024/2025",2025-03-25,"Cumulative",817144
"US_Average","2024/2025",2025-03-25,"Daily",672
"US_Average","2024/2025",2025-03-24,"Cumulative",816472
"US_Average","2024/2025",2025-03-24,"Daily",1614
"US_Average","2024/2025",2025-03-21,"Cumulative",814858
"US_Average","2024/2025",2025-03-21,"Daily",285
"US_Average","2024/2025",2025-03-20,"Cumulative",814573
"US_Average","2024/2025",2025-03-20,"Daily",205
"US_Average","2024/2025",2025-03-19,"Cumulative",814368
"US_Average","2024/2025",2025-03-19,"Daily",6729
"US_Average","2024/2025",2025-03-18,"Cumulative",807639
"US_Average","2024/2025",2025-03-18,"Daily",1950
"US_Average","2024/2025",2025-03-17,"Cumulative",805689
"US_Average","2024/2025",2025-03-17,"Daily",1577
"US_Average","2024/2025",2025-03-14,"Cumulative",804112
"US_Average","2024/2025",2025-03-14,"Daily",12926
"US_Average","2024/2025",2025-03-13,"Cumulative",791186
"US_Average","2024/2025",2025-03-13,"Daily",5212
"US_Average","2024/2025",2025-03-12,"Cumulative",785974
"US_Average","2024/2025",2025-03-12,"Daily",6032
"US_Average","2024/2025",2025-03-11,"Cumulative",779942
"US_Average","2024/2025",2025-03-11,"Daily",5532
"US_Average","2024/2025",2025-03-10,"Cumulative",774410
"US_Average","2024/2025",2025-03-10,"Daily",2811
"US_Average","2024/2025",2025-03-07,"Cumulative",771599
"US_Average","2024/2025",2025-03-07,"Daily",3251
"US_Average","2024/2025",2025-03-06,"Cumulative",768348
"US_Average","2024/2025",2025-03-06,"Daily",852
"US_Average","2024/2025",2025-03-05,"Cumulative",767496
"US_Average","2024/2025",2025-03-05,"Daily",2228
"US_Average","2024/2025",2025-03-04,"Cumulative",765268
"US_Average","2024/2025",2025-03-04,"Daily",2642
"US_Average","2024/2025",2025-03-03,"Cumulative",762626
"US_Average","2024/2025",2025-03-03,"Daily",1802
"US_Average","2024/2025",2025-02-28,"Cumulative",760824
"US_Average","2024/2025",2025-02-28,"Daily",5077
"US_Average","2024/2025",2025-02-27,"Cumulative",755747
"US_Average","2024/2025",2025-02-27,"Daily",708
"US_Average","2024/2025",2025-02-26,"Cumulative",755039
"US_Average","2024/2025",2025-02-26,"Daily",3337
"US_Average","2024/2025",2025-02-25,"Cumulative",751702
"US_Average","2024/2025",2025-02-25,"Daily",8058
"US_Average","2024/2025",2025-02-24,"Cumulative",743644
"US_Average","2024/2025",2025-02-24,"Daily",5276
"US_Average","2024/2025",2025-02-21,"Cumulative",738368
"US_Average","2024/2025",2025-02-21,"Daily",4747
"US_Average","2024/2025",2025-02-20,"Cumulative",733621
"US_Average","2024/2025",2025-02-20,"Daily",6807
"US_Average","2024/2025",2025-02-19,"Cumulative",726814
"US_Average","2024/2025",2025-02-19,"Daily",9200
"US_Average","2024/2025",2025-02-18,"Cumulative",717614
"US_Average","2024/2025",2025-02-18,"Daily",3721
"US_Average","2024/2025",2025-02-14,"Cumulative",713893
"US_Average","2024/2025",2025-02-14,"Daily",4271
"US_Average","2024/2025",2025-02-13,"Cumulative",709622
"US_Average","2024/2025",2025-02-13,"Daily",17989
"US_Average","2024/2025",2025-02-12,"Cumulative",691633
"US_Average","2024/2025",2025-02-12,"Daily",22990
"US_Average","2024/2025",2025-02-11,"Cumulative",668643
"US_Average","2024/2025",2025-02-11,"Daily",15927
"US_Average","2024/2025",2025-02-10,"Cumulative",652716
"US_Average","2024/2025",2025-02-10,"Daily",5705
"US_Average","2024/2025",2025-02-07,"Cumulative",647011
"US_Average","2024/2025",2025-02-07,"Daily",7151
"US_Average","2024/2025",2025-02-06,"Cumulative",639860
"US_Average","2024/2025",2025-02-06,"Daily",6193
"US_Average","2024/2025",2025-02-05,"Cumulative",633667
"US_Average","2024/2025",2025-02-05,"Daily",9776
"US_Average","2024/2025",2025-02-04,"Cumulative",623891
"US_Average","2024/2025",2025-02-04,"Daily",5751
"US_Average","2024/2025",2025-02-03,"Cumulative",618140
"US_Average","2024/2025",2025-02-03,"Daily",1484
"US_Average","2024/2025",2025-01-31,"Cumulative",616656
"US_Average","2024/2025",2025-01-31,"Daily",3394
"US_Average","2024/2025",2025-01-30,"Cumulative",613262
"US_Average","2024/2025",2025-01-30,"Daily",7466
"US_Average","2024/2025",2025-01-29,"Cumulative",605796
"US_Average","2024/2025",2025-01-29,"Daily",8650
"US_Average","2024/2025",2025-01-28,"Cumulative",597146
"US_Average","2024/2025",2025-01-28,"Daily",16565
"US_Average","2024/2025",2025-01-27,"Cumulative",580581
"US_Average","2024/2025",2025-01-27,"Daily",18920
"US_Average","2024/2025",2025-01-24,"Cumulative",561661
"US_Average","2024/2025",2025-01-24,"Daily",14964
"US_Average","2024/2025",2025-01-23,"Cumulative",546697
"US_Average","2024/2025",2025-01-23,"Daily",10741
"US_Average","2024/2025",2025-01-22,"Cumulative",535956
"US_Average","2024/2025",2025-01-22,"Daily",19589
"US_Average","2024/2025",2025-01-21,"Cumulative",516367
"US_Average","2024/2025",2025-01-21,"Daily",11982
"US_Average","2024/2025",2025-01-17,"Cumulative",504385
"US_Average","2024/2025",2025-01-17,"Daily",15738
"US_Average","2024/2025",2025-01-16,"Cumulative",488647
"US_Average","2024/2025",2025-01-16,"Daily",12296
"US_Average","2024/2025",2025-01-15,"Cumulative",476351
"US_Average","2024/2025",2025-01-15,"Daily",8311
"US_Average","2024/2025",2025-01-14,"Cumulative",468040
"US_Average","2024/2025",2025-01-14,"Daily",14420
"US_Average","2024/2025",2025-01-13,"Cumulative",453620
"US_Average","2024/2025",2025-01-13,"Daily",7682
"US_Average","2024/2025",2025-01-10,"Cumulative",445938
"US_Average","2024/2025",2025-01-10,"Daily",12802
"US_Average","2024/2025",2025-01-09,"Cumulative",433136
"US_Average","2024/2025",2025-01-09,"Daily",10081
"US_Average","2024/2025",2025-01-08,"Cumulative",423055
"US_Average","2024/2025",2025-01-08,"Daily",17310
"US_Average","2024/2025",2025-01-07,"Cumulative",405745
"US_Average","2024/2025",2025-01-07,"Daily",19328
"US_Average","2024/2025",2025-01-06,"Cumulative",386417
"US_Average","2024/2025",2025-01-06,"Daily",3075
"US_Average","2024/2025",2025-01-03,"Cumulative",383342
"US_Average","2024/2025",2025-01-03,"Daily",19670
"US_Average","2024/2025",2025-01-02,"Cumulative",363672
"US_Average","2024/2025",2025-01-02,"Daily",7549
"US_Average","2024/2025",2024-12-31,"Cumulative",356123
"US_Average","2024/2025",2024-12-31,"Daily",16517
"US_Average","2024/2025",2024-12-30,"Cumulative",339606
"US_Average","2024/2025",2024-12-30,"Daily",9381
"US_Average","2024/2025",2024-12-27,"Cumulative",330225
"US_Average","2024/2025",2024-12-27,"Daily",3315
"US_Average","2024/2025",2024-12-26,"Cumulative",326910
"US_Average","2024/2025",2024-12-26,"Daily",741
"US_Average","2024/2025",2024-12-23,"Cumulative",305536
"US_Average","2024/2025",2024-12-23,"Daily",5263
"US_Average","2024/2025",2024-12-20,"Cumulative",300273
"US_Average","2024/2025",2024-12-20,"Daily",5027
"US_Average","2024/2025",2024-12-19,"Cumulative",295246
"US_Average","2024/2025",2024-12-19,"Daily",5008
"US_Average","2024/2025",2024-12-18,"Cumulative",290238
"US_Average","2024/2025",2024-12-18,"Daily",5352
"US_Average","2024/2025",2024-12-17,"Cumulative",284886
"US_Average","2024/2025",2024-12-17,"Daily",8207
"US_Average","2024/2025",2024-12-16,"Cumulative",276679
"US_Average","2024/2025",2024-12-16,"Daily",6524
"US_Average","2024/2025",2024-12-13,"Cumulative",270155
"US_Average","2024/2025",2024-12-13,"Daily",10658
"US_Average","2024/2025",2024-12-12,"Cumulative",259497
"US_Average","2024/2025",2024-12-12,"Daily",10999
"US_Average","2024/2025",2024-12-11,"Cumulative",248498
"US_Average","2024/2025",2024-12-11,"Daily",7076
"US_Average","2024/2025",2024-12-10,"Cumulative",241422
"US_Average","2024/2025",2024-12-10,"Daily",9477
"US_Average","2024/2025",2024-12-09,"Cumulative",231945
"US_Average","2024/2025",2024-12-09,"Daily",2241
"US_Average","2024/2025",2024-12-06,"Cumulative",229704
"US_Average","2024/2025",2024-12-06,"Daily",12848
"US_Average","2024/2025",2024-12-05,"Cumulative",216856
"US_Average","2024/2025",2024-12-05,"Daily",12243
"US_Average","2024/2025",2024-12-04,"Cumulative",204613
"US_Average","2024/2025",2024-12-04,"Daily",6394
"US_Average","2024/2025",2024-12-03,"Cumulative",198219
"US_Average","2024/2025",2024-12-03,"Daily",4897
"US_Average","2024/2025",2024-12-02,"Cumulative",193322
"US_Average","2024/2025",2024-12-02,"Daily",4237
"US_Average","2024/2025",2024-11-29,"Cumulative",189085
"US_Average","2024/2025",2024-11-29,"Daily",3823
"US_Average","2024/2025",2024-11-27,"Cumulative",185262
"US_Average","2024/2025",2024-11-27,"Daily",13480
"US_Average","2024/2025",2024-11-26,"Cumulative",171782
"US_Average","2024/2025",2024-11-26,"Daily",10402
"US_Average","2024/2025",2024-11-25,"Cumulative",161380
"US_Average","2024/2025",2024-11-25,"Daily",9113
"US_Average","2024/2025",2024-11-22,"Cumulative",152267
"US_Average","2024/2025",2024-11-22,"Daily",13561
"US_Average","2024/2025",2024-11-21,"Cumulative",138706
"US_Average","2024/2025",2024-11-21,"Daily",7635
"US_Average","2024/2025",2024-11-20,"Cumulative",131071
"US_Average","2024/2025",2024-11-20,"Daily",4745
"US_Average","2024/2025",2024-11-19,"Cumulative",126326
"US_Average","2024/2025",2024-11-19,"Daily",1375
"US_Average","2024/2025",2024-11-18,"Cumulative",124951
"US_Average","2024/2025",2024-11-18,"Daily",1923
"US_Average","2024/2025",2024-11-15,"Cumulative",123028
"US_Average","2024/2025",2024-11-15,"Daily",4007
"US_Average","2024/2025",2024-11-14,"Cumulative",118197
"US_Average","2024/2025",2024-11-14,"Daily",7414
"US_Average","2024/2025",2024-11-13,"Cumulative",110783
"US_Average","2024/2025",2024-11-13,"Daily",2036
"US_Average","2024/2025",2024-11-12,"Cumulative",109571
"US_Average","2024/2025",2024-11-12,"Daily",824
"US_Average","2024/2025",2024-11-11,"Cumulative",108747
"US_Average","2024/2025",2024-11-11,"Daily",2681
"US_Average","2024/2025",2024-11-08,"Cumulative",106066
"US_Average","2024/2025",2024-11-08,"Daily",7945
"US_Average","2024/2025",2024-11-07,"Cumulative",98121
"US_Average","2024/2025",2024-11-07,"Daily",598
"US_Average","2024/2025",2024-11-06,"Cumulative",97523
"US_Average","2024/2025",2024-11-06,"Daily",1671
"US_Average","2024/2025",2024-11-05,"Cumulative",95852
"US_Average","2024/2025",2024-11-05,"Daily",686
"US_Average","2024/2025",2024-11-04,"Cumulative",95166
"US_Average","2024/2025",2024-11-04,"Daily",4411
"US_Average","2024/2025",2024-11-01,"Cumulative",90755
"US_Average","2024/2025",2024-11-01,"Daily",932
"US_Average","2024/2025",2024-10-31,"Cumulative",89823
"US_Average","2024/2025",2024-10-31,"Daily",1015
"US_Average","2024/2025",2024-10-30,"Cumulative",88808
"US_Average","2024/2025",2024-10-30,"Daily",1355
"US_Average","2024/2025",2024-10-29,"Cumulative",87453
"US_Average","2024/2025",2024-10-29,"Daily",158
"US_Average","2024/2025",2024-10-28,"Cumulative",87295
"US_Average","2024/2025",2024-10-28,"Daily",566
"US_Average","2024/2025",2024-10-25,"Cumulative",86729
"US_Average","2024/2025",2024-10-25,"Daily",2907
"US_Average","2024/2025",2024-10-24,"Cumulative",83822
"US_Average","2024/2025",2024-10-24,"Daily",6338
"US_Average","2024/2025",2024-10-23,"Cumulative",77484
"US_Average","2024/2025",2024-10-23,"Daily",1172
"US_Average","2024/2025",2024-10-22,"Cumulative",76312
"US_Average","2024/2025",2024-10-22,"Daily",5466
"US_Average","2024/2025",2024-10-21,"Cumulative",70846
"US_Average","2024/2025",2024-10-21,"Daily",892
"US_Average","2024/2025",2024-10-18,"Cumulative",69954
"US_Average","2024/2025",2024-10-18,"Daily",796
"US_Average","2024/2025",2024-10-17,"Cumulative",69158
"US_Average","2024/2025",2024-10-17,"Daily",3321
"US_Average","2024/2025",2024-10-16,"Cumulative",65837
"US_Average","2024/2025",2024-10-16,"Daily",622
"US_Average","2024/2025",2024-10-15,"Cumulative",65215
"US_Average","2024/2025",2024-10-15,"Daily",1065
"US_Average","2024/2025",2024-10-14,"Cumulative",64150
"US_Average","2024/2025",2024-10-14,"Daily",887
"US_Average","2024/2025",2024-10-11,"Cumulative",63263
"US_Average","2024/2025",2024-10-11,"Daily",1044
"US_Average","2024/2025",2024-10-10,"Cumulative",62219
"US_Average","2024/2025",2024-10-10,"Daily",559
"US_Average","2024/2025",2024-10-09,"Cumulative",61660
"US_Average","2024/2025",2024-10-09,"Daily",1016
"US_Average","2024/2025",2024-10-08,"Cumulative",60644
"US_Average","2024/2025",2024-10-08,"Daily",2100
"US_Average","2024/2025",2024-10-07,"Cumulative",58544
"US_Average","2024/2025",2024-10-07,"Daily",0
"US_Average","2024/2025",2024-10-04,"Cumulative",58544
"US_Average","2024/2025",2024-10-04,"Daily",684
"US_Average","2024/2025",2024-10-03,"Cumulative",57860
"US_Average","2024/2025",2024-10-03,"Daily",3434
"US_Average","2024/2025",2024-10-02,"Cumulative",54426
"US_Average","2024/2025",2024-10-02,"Daily",1240
"US_Average","2024/2025",2024-10-01,"Cumulative",53186
"US_Average","2024/2025",2024-10-01,"Daily",794
"US_Average","2024/2025",2024-09-30,"Cumulative",52392
"US_Average","2024/2025",2024-09-30,"Daily",47
"US_Average","2024/2025",2024-09-27,"Cumulative",52345
"US_Average","2024/2025",2024-09-27,"Daily",868
"US_Average","2024/2025",2024-09-26,"Cumulative",51477
"US_Average","2024/2025",2024-09-26,"Daily",2586
"US_Average","2024/2025",2024-09-25,"Cumulative",48891
"US_Average","2024/2025",2024-09-25,"Daily",1368
"US_Average","2024/2025",2024-09-24,"Cumulative",47523
"US_Average","2024/2025",2024-09-24,"Daily",814
"US_Average","2024/2025",2024-09-23,"Cumulative",46709
"US_Average","2024/2025",2024-09-23,"Daily",1333
"US_Average","2024/2025",2024-09-20,"Cumulative",45376
"US_Average","2024/2025",2024-09-20,"Daily",4817
"US_Average","2024/2025",2024-09-19,"Cumulative",40559
"US_Average","2024/2025",2024-09-19,"Daily",428
"US_Average","2024/2025",2024-09-18,"Cumulative",40131
"US_Average","2024/2025",2024-09-18,"Daily",1096
"US_Average","2024/2025",2024-09-17,"Cumulative",39035
"US_Average","2024/2025",2024-09-17,"Daily",2860
"US_Average","2024/2025",2024-09-16,"Cumulative",36175
"US_Average","2024/2025",2024-09-16,"Daily",546
"US_Average","2024/2025",2024-09-13,"Cumulative",35629
"US_Average","2024/2025",2024-09-13,"Daily",4474
"US_Average","2024/2025",2024-09-12,"Cumulative",31155
"US_Average","2024/2025",2024-09-12,"Daily",3571
"US_Average","2024/2025",2024-09-11,"Cumulative",27584
"US_Average","2024/2025",2024-09-11,"Daily",1675
"US_Average","2024/2025",2024-09-10,"Cumulative",25909
"US_Average","2024/2025",2024-09-10,"Daily",2051
"US_Average","2024/2025",2024-09-09,"Cumulative",23858
"US_Average","2024/2025",2024-09-09,"Daily",6
"US_Average","2024/2025",2024-09-06,"Cumulative",23852
"US_Average","2024/2025",2024-09-06,"Daily",2630
"US_Average","2024/2025",2024-09-05,"Cumulative",21222
"US_Average","2024/2025",2024-09-05,"Daily",199
"US_Average","2024/2025",2024-09-04,"Cumulative",21023
"US_Average","2024/2025",2024-09-04,"Daily",1240
"US_Average","2024/2025",2024-09-03,"Cumulative",19783
"US_Average","2024/2025",2024-09-03,"Daily",1253
"US_Average","2024/2025",2024-08-30,"Cumulative",18530
"US_Average","2024/2025",2024-08-30,"Daily",1497
"US_Average","2024/2025",2024-08-29,"Cumulative",17033
"US_Average","2024/2025",2024-08-29,"Daily",0
"US_Average","2024/2025",2024-08-28,"Cumulative",17033
"US_Average","2024/2025",2024-08-28,"Daily",494
"US_Average","2024/2025",2024-08-27,"Cumulative",16539
"US_Average","2024/2025",2024-08-27,"Daily",334
"US_Average","2024/2025",2024-08-26,"Cumulative",16205
"US_Average","2024/2025",2024-08-26,"Daily",1345
"US_Average","2024/2025",2024-08-23,"Cumulative",14860
"US_Average","2024/2025",2024-08-23,"Daily",0
"US_Average","2024/2025",2024-08-22,"Cumulative",14860
"US_Average","2024/2025",2024-08-22,"Daily",2679
"US_Average","2024/2025",2024-08-21,"Cumulative",12181
"US_Average","2024/2025",2024-08-21,"Daily",45
"US_Average","2024/2025",2024-08-20,"Cumulative",12136
"US_Average","2024/2025",2024-08-20,"Daily",3727
"US_Average","2024/2025",2024-08-19,"Cumulative",8409
"US_Average","2024/2025",2024-08-19,"Daily",399
"US_Average","2024/2025",2024-08-16,"Cumulative",8010
"US_Average","2024/2025",2024-08-16,"Daily",0
"US_Average","2024/2025",2024-08-15,"Cumulative",8010
"US_Average","2024/2025",2024-08-15,"Daily",991
"US_Average","2024/2025",2024-08-14,"Cumulative",7019
"US_Average","2024/2025",2024-08-14,"Daily",703
"US_Average","2024/2025",2024-08-13,"Cumulative",6316
"US_Average","2024/2025",2024-08-13,"Daily",1748
"US_Average","2024/2025",2024-08-12,"Cumulative",4568
"US_Average","2024/2025",2024-08-12,"Daily",676
"US_Average","2024/2025",2024-08-09,"Cumulative",3892
"US_Average","2024/2025",2024-08-09,"Daily",0
"US_Average","2024/2025",2024-08-08,"Cumulative",3892
"US_Average","2024/2025",2024-08-08,"Daily",2266
"US_Average","2024/2025",2024-08-07,"Cumulative",1626
"US_Average","2024/2025",2024-08-07,"Daily",0
"US_Average","2024/2025",2024-08-06,"Cumulative",1626
"US_Average","2024/2025",2024-08-06,"Daily",0
"US_Average","2024/2025",2024-08-05,"Cumulative",1626
"US_Average","2024/2025",2024-08-05,"Daily",0
"US_Average","2024/2025",2024-08-02,"Cumulative",1626
"US_Average","2024/2025",2024-08-02,"Daily",125
"US_Average","2024/2025",2024-08-01,"Cumulative",1501
"US_Average","2024/2025",2024-08-01,"Daily",1501
"US_Average","2023/2024",2024-07-31,"Cumulative",836193
