ANO;Municipio;Regiao;V1;V2;V3;V4;V5;V6;V7
2017;Contenda;41002_2ª RS Metropolitana;256.8;2;0;1;23;1;3
2013;Curitiba;41002_2ª RS Metropolitana;7.5;79;6;97;2204;123;83
2014;Curitiba;41002_2ª RS Metropolitana;11.7;63;1;82;2174;303;56
2015;Curitiba;41002_2ª RS Metropolitana;10.1;56;7;80;2319;963;94
2016;Curitiba;41002_2ª RS Metropolitana;9.8;48;5;95;2427;1079;90
2017;Curitiba;41002_2ª RS Metropolitana;15.3;57;2;84;2423;1807;94
2013;Doutor Ulysses;41002_2ª RS Metropolitana;6.7;2;2;0;3;0;0
2014;Doutor Ulysses;41002_2ª RS Metropolitana;11.9;0;0;1;5;0;0
2015;Doutor Ulysses;41002_2ª RS Metropolitana;19.7;3;1;0;2;0;0
2016;Doutor Ulysses;41002_2ª RS Metropolitana;17.3;0;0;1;2;1;0
2017;Doutor Ulysses;41002_2ª RS Metropolitana;17.8;2;2;1;1;0;0
2013;Fazenda Rio Grande;41002_2ª RS Metropolitana;8.4;4;0;7;71;2;5
2014;Fazenda Rio Grande;41002_2ª RS Metropolitana;10.6;50;7;4;80;14;4
2015;Fazenda Rio Grande;41002_2ª RS Metropolitana;14.4;3;0;9;93;42;8
2016;Fazenda Rio Grande;41002_2ª RS Metropolitana;14.5;4;0;4;93;58;8
2017;Fazenda Rio Grande;41002_2ª RS Metropolitana;16.8;5;0;4;101;133;8
2013;Itaperuçu;41002_2ª RS Metropolitana;1.2;1;0;2;22;1;0
2014;Itaperuçu;41002_2ª RS Metropolitana;2.6;0;0;2;22;0;2
2015;Itaperuçu;41002_2ª RS Metropolitana;3.3;2;0;2;26;10;2
2016;Itaperuçu;41002_2ª RS Metropolitana;5.1;0;0;2;23;6;1
2017;Itaperuçu;41002_2ª RS Metropolitana;8.4;0;0;1;24;9;3
2013;Lapa;41002_2ª RS Metropolitana;366.3;1;0;0;66;5;0
2014;Lapa;41002_2ª RS Metropolitana;540.8;1;0;1;67;1;2
2015;Lapa;41002_2ª RS Metropolitana;544.4;3;1;1;62;6;5
2016;Lapa;41002_2ª RS Metropolitana;725.3;2;1;3;77;10;0
2017;Lapa;41002_2ª RS Metropolitana;730.8;6;2;2;72;13;3
2013;Mandirituba;41002_2ª RS Metropolitana;49.8;0;0;3;25;10;1
2014;Mandirituba;41002_2ª RS Metropolitana;30.2;0;0;2;21;5;1
2015;Mandirituba;41002_2ª RS Metropolitana;38.8;0;0;0;30;3;1
2016;Mandirituba;41002_2ª RS Metropolitana;42.4;2;0;1;19;5;2
2017;Mandirituba;41002_2ª RS Metropolitana;42.4;0;0;3;30;4;1
2013;Piên;41002_2ª RS Metropolitana;74.5;0;0;2;15;0;1
2014;Piên;41002_2ª RS Metropolitana;62.4;0;0;1;18;2;0
2015;Piên;41002_2ª RS Metropolitana;53;1;1;1;26;0;0
2016;Piên;41002_2ª RS Metropolitana;56.5;4;4;0;15;3;3
2017;Piên;41002_2ª RS Metropolitana;60.6;40;25;1;18;7;0
2013;Pinhais;41002_2ª RS Metropolitana;0.6;3;0;9;137;10;7
2014;Pinhais;41002_2ª RS Metropolitana;0.5;1;1;4;129;9;3
2015;Pinhais;41002_2ª RS Metropolitana;0.5;7;1;6;125;34;5
2016;Pinhais;41002_2ª RS Metropolitana;0.5;2;0;6;163;76;8
2017;Pinhais;41002_2ª RS Metropolitana;0.5;2;1;3;126;159;4
2013;Piraquara;41002_2ª RS Metropolitana;2;4;0;3;64;7;7
2014;Piraquara;41002_2ª RS Metropolitana;2.3;1;0;4;68;11;9
2015;Piraquara;41002_2ª RS Metropolitana;2.3;2;0;6;115;37;6
2016;Piraquara;41002_2ª RS Metropolitana;5.2;2;1;9;107;46;4
2017;Piraquara;41002_2ª RS Metropolitana;5.7;4;0;5;110;96;6
2013;Quatro Barras;41002_2ª RS Metropolitana;2.1;0;0;4;24;0;0
2014;Quatro Barras;41002_2ª RS Metropolitana;0.3;0;0;1;21;1;0
2015;Quatro Barras;41002_2ª RS Metropolitana;0.2;0;0;1;29;13;0
2016;Quatro Barras;41002_2ª RS Metropolitana;0.1;1;0;1;20;33;0
2017;Quatro Barras;41002_2ª RS Metropolitana;0.1;1;0;2;23;23;1
2013;Quitandinha;41002_2ª RS Metropolitana;127.8;3;0;0;23;3;0
2014;Quitandinha;41002_2ª RS Metropolitana;112.3;5;1;1;22;18;3
2015;Quitandinha;41002_2ª RS Metropolitana;112.1;2;2;1;16;12;1
2016;Quitandinha;41002_2ª RS Metropolitana;138.7;2;1;1;32;16;0
2017;Quitandinha;41002_2ª RS Metropolitana;140.8;1;1;0;25;16;1
2013;Rio Branco do Sul;41002_2ª RS Metropolitana;5;2;1;1;26;0;1
2014;Rio Branco do Sul;41002_2ª RS Metropolitana;8.7;0;0;3;29;3;0
2015;Rio Branco do Sul;41002_2ª RS Metropolitana;10.8;0;0;4;33;1;2
2016;Rio Branco do Sul;41002_2ª RS Metropolitana;11.6;0;0;2;31;0;1
2017;Rio Branco do Sul;41002_2ª RS Metropolitana;10.9;0;0;0;29;5;1
2013;Rio Negro;41002_2ª RS Metropolitana;123.1;0;0;2;52;9;0
2014;Rio Negro;41002_2ª RS Metropolitana;79.5;0;0;1;30;21;1
2015;Rio Negro;41002_2ª RS Metropolitana;55.1;3;0;1;44;12;2
2016;Rio Negro;41002_2ª RS Metropolitana;51.9;1;0;2;47;11;2
2017;Rio Negro;41002_2ª RS Metropolitana;52.1;0;0;1;53;14;1
2013;São José dos Pinhais;41002_2ª RS Metropolitana;64.2;8;0;16;271;90;8
2014;São José dos Pinhais;41002_2ª RS Metropolitana;67.8;15;0;20;285;73;10
2015;São José dos Pinhais;41002_2ª RS Metropolitana;78.8;25;2;21;318;143;6
2016;São José dos Pinhais;41002_2ª RS Metropolitana;92.9;18;0;23;306;144;14
2017;São José dos Pinhais;41002_2ª RS Metropolitana;110.3;6;0;17;313;228;13
2013;Tijucas do Sul;41002_2ª RS Metropolitana;26.8;1;1;0;16;4;1
2014;Tijucas do Sul;41002_2ª RS Metropolitana;42.9;8;1;3;17;6;1
2015;Tijucas do Sul;41002_2ª RS Metropolitana;46.2;4;2;2;20;5;1
2016;Tijucas do Sul;41002_2ª RS Metropolitana;51.2;0;0;0;15;7;1
2017;Tijucas do Sul;41002_2ª RS Metropolitana;50.3;8;6;0;17;4;0
2013;Tunas do Paraná;41002_2ª RS Metropolitana;0.8;0;0;0;1;0;0
2014;Tunas do Paraná;41002_2ª RS Metropolitana;3.6;0;0;0;8;0;1
2015;Tunas do Paraná;41002_2ª RS Metropolitana;3.7;0;0;3;6;0;1
2016;Tunas do Paraná;41002_2ª RS Metropolitana;1.5;0;0;0;2;0;1
2017;Tunas do Paraná;41002_2ª RS Metropolitana;2.6;0;0;0;11;0;1
2013;Arapoti;41003_3ª RS Ponta Grossa;752.9;1;0;2;21;1;0
2014;Arapoti;41003_3ª RS Ponta Grossa;768.5;0;0;0;36;1;3
2015;Arapoti;41003_3ª RS Ponta Grossa;746.5;11;10;2;28;0;1
2016;Arapoti;41003_3ª RS Ponta Grossa;781.8;4;3;1;22;4;4
2017;Arapoti;41003_3ª RS Ponta Grossa;766.3;2;1;1;37;6;1
2013;Carambeí;41003_3ª RS Ponta Grossa;448.1;0;0;1;12;3;4
2014;Carambeí;41003_3ª RS Ponta Grossa;629.6;0;0;3;21;1;3
2015;Carambeí;41003_3ª RS Ponta Grossa;762.9;1;0;0;13;1;2
2016;Carambeí;41003_3ª RS Ponta Grossa;771.7;1;0;0;10;0;1
2017;Carambeí;41003_3ª RS Ponta Grossa;603.9;0;0;2;21;4;1
2013;Castro;41003_3ª RS Ponta Grossa;1391.1;7;1;1;73;0;6
2014;Castro;41003_3ª RS Ponta Grossa;1709.2;8;2;4;71;6;7
2015;Castro;41003_3ª RS Ponta Grossa;1590;6;3;6;75;10;2
2016;Castro;41003_3ª RS Ponta Grossa;1637.3;3;1;4;91;55;5
2017;Castro;41003_3ª RS Ponta Grossa;1498.2;2;1;6;82;46;4
2013;Ipiranga;41003_3ª RS Ponta Grossa;454.1;6;4;1;14;1;2
2014;Ipiranga;41003_3ª RS Ponta Grossa;458.9;11;4;3;15;0;2
2015;Ipiranga;41003_3ª RS Ponta Grossa;410.4;6;5;0;8;2;0
2016;Ipiranga;41003_3ª RS Ponta Grossa;412.8;7;2;0;13;2;0
2017;Ipiranga;41003_3ª RS Ponta Grossa;456;33;3;0;17;9;1
2013;Ivaí;41003_3ª RS Ponta Grossa;524;3;3;2;8;0;2
2014;Ivaí;41003_3ª RS Ponta Grossa;401;2;2;0;13;0;0
2015;Ivaí;41003_3ª RS Ponta Grossa;254.1;2;2;2;13;2;1
2016;Ivaí;41003_3ª RS Ponta Grossa;327.6;3;3;0;11;2;0
2017;Ivaí;41003_3ª RS Ponta Grossa;322.5;17;3;0;8;5;1
2013;Jaguariaíva;41003_3ª RS Ponta Grossa;326.5;0;0;3;29;2;0
2014;Jaguariaíva;41003_3ª RS Ponta Grossa;389.3;1;0;0;31;2;1
2015;Jaguariaíva;41003_3ª RS Ponta Grossa;363.7;0;0;3;32;23;0
2016;Jaguariaíva;41003_3ª RS Ponta Grossa;434.1;0;0;2;44;15;1
2017;Jaguariaíva;41003_3ª RS Ponta Grossa;417.2;0;0;3;32;37;3
2013;Palmeira;41003_3ª RS Ponta Grossa;1130.7;2;1;2;51;0;3
2014;Palmeira;41003_3ª RS Ponta Grossa;1367.6;1;0;3;29;6;1
2015;Palmeira;41003_3ª RS Ponta Grossa;1241.9;1;0;2;37;5;3
2016;Palmeira;41003_3ª RS Ponta Grossa;1283.5;4;1;0;32;3;3
2017;Palmeira;41003_3ª RS Ponta Grossa;1118.6;2;0;4;43;11;2
2013;Piraí do Sul;41003_3ª RS Ponta Grossa;667.9;2;2;0;44;2;0
2014;Piraí do Sul;41003_3ª RS Ponta Grossa;650;2;2;3;28;3;2
2015;Piraí do Sul;41003_3ª RS Ponta Grossa;717.4;3;2;2;42;0;3
2016;Piraí do Sul;41003_3ª RS Ponta Grossa;756.3;3;1;2;38;0;2
2017;Piraí do Sul;41003_3ª RS Ponta Grossa;709.1;4;0;2;36;8;1
2013;Ponta Grossa;41003_3ª RS Ponta Grossa;1145.4;9;0;18;455;156;22
2014;Ponta Grossa;41003_3ª RS Ponta Grossa;1249.8;12;2;17;461;127;13
2015;Ponta Grossa;41003_3ª RS Ponta Grossa;1062;4;1;13;451;114;17
2016;Ponta Grossa;41003_3ª RS Ponta Grossa;1066.5;3;1;18;454;95;18
2017;Ponta Grossa;41003_3ª RS Ponta Grossa;1044.8;12;3;14;451;202;19
2013;Porto Amazonas;41003_3ª RS Ponta Grossa;124.8;1;1;0;10;0;0
2014;Porto Amazonas;41003_3ª RS Ponta Grossa;102.5;1;0;0;14;1;0
2015;Porto Amazonas;41003_3ª RS Ponta Grossa;104.3;0;0;0;9;0;1
2016;Porto Amazonas;41003_3ª RS Ponta Grossa;110.3;0;0;0;4;1;0
2017;Porto Amazonas;41003_3ª RS Ponta Grossa;109.7;0;0;0;4;3;0
2013;São João do Triunfo;41003_3ª RS Ponta Grossa;433;9;0;0;19;0;0
2014;São João do Triunfo;41003_3ª RS Ponta Grossa;342.6;5;1;3;14;2;1
2015;São João do Triunfo;41003_3ª RS Ponta Grossa;192.7;6;5;0;19;0;2
2016;São João do Triunfo;41003_3ª RS Ponta Grossa;232.7;0;0;0;17;0;1
2017;São João do Triunfo;41003_3ª RS Ponta Grossa;216.2;0;0;0;22;1;0
2013;Sengés;41003_3ª RS Ponta Grossa;185.5;0;0;1;9;0;2
2014;Sengés;41003_3ª RS Ponta Grossa;314;0;0;1;15;1;1
2015;Sengés;41003_3ª RS Ponta Grossa;250.5;0;0;0;14;1;0
2016;Sengés;41003_3ª RS Ponta Grossa;255.6;0;0;2;22;3;0
2017;Sengés;41003_3ª RS Ponta Grossa;195.7;1;0;1;14;3;1
2013;Fernandes Pinheiro;41004_4ª RS Irati;155.3;2;2;0;7;0;0
2014;Fernandes Pinheiro;41004_4ª RS Irati;154.8;2;2;0;10;0;0
2015;Fernandes Pinheiro;41004_4ª RS Irati;195.8;4;3;0;7;0;1
2016;Fernandes Pinheiro;41004_4ª RS Irati;271.3;1;1;0;6;0;0
2017;Fernandes Pinheiro;41004_4ª RS Irati;197.7;1;1;0;3;0;1
2013;Guamiranga;41004_4ª RS Irati;68.7;41;37;0;10;6;2
2014;Guamiranga;41004_4ª RS Irati;88.4;31;31;0;17;5;2
2015;Guamiranga;41004_4ª RS Irati;75.1;23;23;0;11;6;2
2016;Guamiranga;41004_4ª RS Irati;97.1;20;18;0;9;7;0
2017;Guamiranga;41004_4ª RS Irati;105.9;34;19;1;15;8;2
2013;Imbituva;41004_4ª RS Irati;362.5;4;3;0;25;5;4
2014;Imbituva;41004_4ª RS Irati;536.1;2;1;1;48;7;4
2015;Imbituva;41004_4ª RS Irati;414.3;7;5;0;28;3;3
2016;Imbituva;41004_4ª RS Irati;458.9;2;2;3;42;0;3
2017;Imbituva;41004_4ª RS Irati;420.4;3;2;1;39;8;3
2013;Inácio Martins;41004_4ª RS Irati;5.2;1;1;1;15;0;1
2014;Inácio Martins;41004_4ª RS Irati;4.8;1;0;0;14;2;0
2015;Inácio Martins;41004_4ª RS Irati;8.4;1;0;0;13;1;1
2016;Inácio Martins;41004_4ª RS Irati;8;1;0;2;9;1;1
2017;Inácio Martins;41004_4ª RS Irati;9.9;0;0;1;12;3;3
2013;Irati;41004_4ª RS Irati;313.5;11;2;3;84;6;3
2014;Irati;41004_4ª RS Irati;383.5;21;20;1;70;6;6
2015;Irati;41004_4ª RS Irati;486.4;9;6;2;86;9;9
2016;Irati;41004_4ª RS Irati;631.2;5;5;2;93;7;2
2017;Irati;41004_4ª RS Irati;543.3;9;6;0;76;22;6
2013;Mallet;41004_4ª RS Irati;174.2;0;0;0;19;2;0
2014;Mallet;41004_4ª RS Irati;118.1;3;2;0;18;0;1
2015;Mallet;41004_4ª RS Irati;101.5;3;2;0;25;1;1
2016;Mallet;41004_4ª RS Irati;158.3;1;0;0;36;2;2
2017;Mallet;41004_4ª RS Irati;131.9;0;0;0;20;7;3
2013;Rebouças;41004_4ª RS Irati;152.3;11;8;1;23;2;0
2014;Rebouças;41004_4ª RS Irati;183.4;4;3;0;27;5;2
2015;Rebouças;41004_4ª RS Irati;237.1;1;0;1;20;1;1
2016;Rebouças;41004_4ª RS Irati;299.4;8;7;1;20;5;2
2017;Rebouças;41004_4ª RS Irati;240.7;12;5;0;19;9;0
2013;Rio Azul;41004_4ª RS Irati;183.6;5;4;2;16;4;2
2014;Rio Azul;41004_4ª RS Irati;155.6;4;0;0;22;5;2
2015;Rio Azul;41004_4ª RS Irati;106.7;4;2;3;19;3;0
2016;Rio Azul;41004_4ª RS Irati;126.9;6;5;3;19;4;1
2017;Rio Azul;41004_4ª RS Irati;172.1;5;0;0;19;9;2
2013;Teixeira Soares;41004_4ª RS Irati;472.5;2;1;1;14;0;0
2014;Teixeira Soares;41004_4ª RS Irati;540.6;1;1;0;11;3;2
2015;Teixeira Soares;41004_4ª RS Irati;541.1;0;0;0;6;0;0
2016;Teixeira Soares;41004_4ª RS Irati;606.8;0;0;0;11;7;0
2017;Teixeira Soares;41004_4ª RS Irati;614.3;0;0;0;16;4;0
2013;Boa Ventura de São Roque;41005_5ª RS Guarapuava;240.7;0;0;1;7;0;0
2014;Boa Ventura de São Roque;41005_5ª RS Guarapuava;296.6;0;0;1;2;1;2
2015;Boa Ventura de São Roque;41005_5ª RS Guarapuava;304.9;2;2;0;7;0;2
2016;Boa Ventura de São Roque;41005_5ª RS Guarapuava;332.8;0;0;0;4;1;0
2017;Boa Ventura de São Roque;41005_5ª RS Guarapuava;293.5;0;0;0;6;0;2
2013;Campina do Simão;41005_5ª RS Guarapuava;80.8;0;0;1;6;0;0
2014;Campina do Simão;41005_5ª RS Guarapuava;101;0;0;0;4;1;0
2015;Campina do Simão;41005_5ª RS Guarapuava;123.3;0;0;0;6;1;1
2016;Campina do Simão;41005_5ª RS Guarapuava;165.9;0;0;2;5;1;0
2017;Campina do Simão;41005_5ª RS Guarapuava;171.3;0;0;0;4;1;0
2013;Candói;41005_5ª RS Guarapuava;1937.9;1;1;1;25;2;1
2014;Candói;41005_5ª RS Guarapuava;2000.4;3;1;3;19;0;1
2015;Candói;41005_5ª RS Guarapuava;1379;4;2;1;19;1;1
2016;Candói;41005_5ª RS Guarapuava;1180;0;0;2;21;0;1
2017;Candói;41005_5ª RS Guarapuava;1076.6;1;1;1;24;5;0
2013;Cantagalo;41005_5ª RS Guarapuava;535.6;0;0;2;17;0;3
2014;Cantagalo;41005_5ª RS Guarapuava;597.6;1;1;1;15;0;1
2015;Cantagalo;41005_5ª RS Guarapuava;371;1;0;0;19;0;2
2016;Cantagalo;41005_5ª RS Guarapuava;183.6;0;0;0;16;0;1
2017;Cantagalo;41005_5ª RS Guarapuava;198;0;0;0;19;5;6
2013;Foz do Jordão;41005_5ª RS Guarapuava;681.2;1;0;0;6;0;0
2014;Foz do Jordão;41005_5ª RS Guarapuava;693;0;0;0;7;1;2
2015;Foz do Jordão;41005_5ª RS Guarapuava;409.6;0;0;1;4;0;0
2016;Foz do Jordão;41005_5ª RS Guarapuava;142.3;0;0;1;17;1;1
2017;Foz do Jordão;41005_5ª RS Guarapuava;146.7;0;0;0;4;4;0
2013;Goioxim;41005_5ª RS Guarapuava;219.4;0;0;0;7;0;2
2014;Goioxim;41005_5ª RS Guarapuava;241;0;0;0;9;2;0
2015;Goioxim;41005_5ª RS Guarapuava;327.8;1;1;1;8;0;1
2016;Goioxim;41005_5ª RS Guarapuava;262.1;4;4;0;9;3;3
2017;Goioxim;41005_5ª RS Guarapuava;225.5;1;1;0;3;3;0
2013;Guarapuava;41005_5ª RS Guarapuava;827.9;5;4;5;224;0;8
2014;Guarapuava;41005_5ª RS Guarapuava;1008.9;3;2;10;218;12;9
2015;Guarapuava;41005_5ª RS Guarapuava;1162.1;3;1;7;226;22;15
2016;Guarapuava;41005_5ª RS Guarapuava;1768.2;4;1;12;266;84;17
2017;Guarapuava;41005_5ª RS Guarapuava;1719.5;0;0;12;239;78;18
2013;Laranjal;41005_5ª RS Guarapuava;30.7;0;0;0;3;0;2
2014;Laranjal;41005_5ª RS Guarapuava;34.6;0;0;0;2;0;0
2015;Laranjal;41005_5ª RS Guarapuava;36.4;0;0;0;2;1;0
2016;Laranjal;41005_5ª RS Guarapuava;36.9;0;0;0;7;0;1
2017;Laranjal;41005_5ª RS Guarapuava;39.1;1;1;0;6;0;0
2013;Laranjeiras do Sul;41005_5ª RS Guarapuava;210.7;2;0;1;49;14;2
2014;Laranjeiras do Sul;41005_5ª RS Guarapuava;257.2;3;3;1;37;8;3
2015;Laranjeiras do Sul;41005_5ª RS Guarapuava;211.3;4;3;3;35;3;2
2016;Laranjeiras do Sul;41005_5ª RS Guarapuava;210.1;2;0;1;40;9;2
2017;Laranjeiras do Sul;41005_5ª RS Guarapuava;203.4;3;0;3;35;23;7
2013;Marquinho;41005_5ª RS Guarapuava;60.5;3;3;0;3;0;0
2014;Marquinho;41005_5ª RS Guarapuava;61.2;0;0;0;3;0;0
2015;Marquinho;41005_5ª RS Guarapuava;56.5;1;1;0;6;0;0
2016;Marquinho;41005_5ª RS Guarapuava;60.6;0;0;0;7;0;1
2017;Marquinho;41005_5ª RS Guarapuava;62.3;2;2;0;1;1;0
2013;Nova Laranjeiras;41005_5ª RS Guarapuava;134.9;0;0;2;11;2;2
